firm_id,roster_name,city,state,zip,county,cbsa,cbsa_code
cwmg-great-lakes-cia,CWMG-Great Lakes-CIA,,,,,,
cwmg-omaha-cia,CWMG-Omaha-CIA,,,,,,
cwmg-cincinnati-cia,CWMG-Cincinnati-CIA,,,,,,
cwmg-cedar-rapids-cia,CWMG-Cedar Rapids-CIA,,,,,,
sweet-financial-partners-llc-cia,"Sweet Financial Partners, LLC-CIA",,,,,,
cwmg-west-des-moines-cia,CWMG-West Des Moines-CIA,,,,,,
cwmg-the-shobe-financial-group-cia,CWMG-The Shobe Financial Group-CIA,,,,,,
cwmg-englewood-cia,CWMG-Englewood-CIA,,,,,,
cwmg-hagerstown-cia,CWMG-Hagerstown-CIA,,,,,,
cwmg-hartford-cia,CWMG-Hartford-CIA,,,,,,
wells-trecaso-cia,Wells Trecaso-CIA,,,,,,
cwmg-littleton-cia,CWMG-Littleton-CIA,,,,,,
cwmg-franklin-lakes-cia,CWMG-Franklin Lakes-CIA,,,,,,
applied-financial-planning-inc-cia,Applied Financial Planning Inc-CIA,,,,,,
nwcm-cia,NWCM-CIA,,,,,,
cwmg-kansas-city-cia,CWMG-Kansas City-CIA,,,,,,
cwmg-quincy-cia,CWMG-Quincy-CIA,,,,,,
srq-wealth-cia,SRQ Wealth-CIA,,,,,,
shilanski-associates-inc-cia,Shilanski & Associates Inc.-CIA,,,,,,
cwmg-sf-cia,CWMG-SF-CIA,,,,,,
boston-retirement-group-cia,Boston Retirement Group-CIA,,,,,,
cwmg-billings-gabel-cia,CWMG-Billings-Gabel-CIA,,,,,,
cwmg-doylestown-cia,CWMG-Doylestown-CIA,,,,,,
cwmg-pittsburgh-cia,CWMG-Pittsburgh-CIA,,,,,,
cwmg-green-bay-cia,CWMG-Green Bay-CIA,,,,,,
cwmg-scottsdale-pine-cia,CWMG-Scottsdale-Pine-CIA,,,,,,
cwmg-roseville-cia,CWMG-Roseville-CIA,,,,,,
cwmg-marquette-cia,CWMG-Marquette-CIA,,,,,,
jacob-william-advisory-cia,Jacob William Advisory-CIA,,,,,,
cwmg-columbia-cia,CWMG-Columbia-CIA,,,,,,
cwmg-minneapolis-cia,CWMG-Minneapolis-CIA,,,,,,
cwmg-milton-cia,CWMG-Milton-CIA,,,,,,
cwmg-elkhorn-cia,CWMG-Elkhorn-CIA,,,,,,
cwmg-southborough-cia,CWMG-Southborough-CIA,,,,,,
cwmg-portland-cia,CWMG-Portland-CIA,,,,,,
cwmg-orlando-cia,CWMG-Orlando-CIA,,,,,,
jackson-wealth-management-cia,Jackson Wealth Management-CIA,,,,,,
cwmg-fisher-financial-advisors-llc-cia,CWMG-Fisher Financial Advisors LLC-CIA,,,,,,
furstenau-financial-cia,Furstenau Financial-CIA,,,,,,
cwmg-murray-cia,CWMG-Murray-CIA,,,,,,
cwmg-salt-lake-city-cia,CWMG-Salt Lake City-CIA,,,,,,
zerocelsius-wealth-studio-inc-cia,"ZeroCelsius Wealth Studio, Inc.-CIA",,,,,,
cwmg-walla-walla-cia,CWMG-Walla Walla-CIA,,,,,,
cwmg-vincennes-cia,CWMG-Vincennes-CIA,,,,,,
meikle-financial-group-cia,Meikle Financial Group-CIA,,,,,,
cwmg-johnson-city-cia,CWMG-Johnson City-CIA,,,,,,
cwmg-las-vegas-cia,CWMG-Las Vegas-CIA,,,,,,
